plot_nr,measurement,basal_area_m2_ha,volume_m3,angle_count_m2_ha,,
1,1,22.81,15.79,29,,29
1,2,23.39,14.74,34,,34
1,3,23.51,13.75,24,,24
2,1,13.05,7.08,31,,31
2,2,8.69,3.91,,,
2,3,13.74,7.24,32,,32
3,1,23.44,14.53,28,,28
3,2,24.94,7.08,21.25,,21.25
3,3,13.63,7.83,,,
4,1,20.64,14.22,32,,32
4,2,11.58,6.95,,,
4,3,17.65,13.22,,,
5,1,17.79,5.62,,,
5,2,18.67,8.23,,,
5,3,15.89,9.81,,,
6,1,35.83,24.69,,,
6,2,18.2,21.46,28,,28
6,3,27.32,18.97,,,
7,1,8.17,4.88,28,,28
7,2,9.64,5.45,,,
7,3,7.95,4.05,28,,28
8,1,11.84,6.15,,,
8,2,9.84,4.59,28,,28
8,3,11.73,5.99,26,,26
9,1,17.22229167,9.15539935,24,,24
9,2,13.63939236,5.499572432,18,,18
9,3,,,,,
10,1,22.58854167,14.42741083,24,,24
10,2,19.88203125,14.08553114,18,,18
10,3,,,,,
11,1,39.83159722,32.47864879,24,,24
11,2,3.301753472,0.037129855,,,
11,3,,,,,
12,1,24.40798611,17.80357836,30,,30
12,2,22.91293403,7.139207769,28.5,,28.5
12,3,,,,,
